Name,Location,Category,CategoryJA,Address,Phone,Website,Notes
北野異人館街,"34.7001, 135.1853",tourism,観光,神戸市中央区北野町,078-271-3311,,"歴史的建造物, 写真スポット, 洋館見学, 北野エリア"
風見鶏の館,"34.7018, 135.1845",tourism,観光,神戸市中央区北野町3-13-3,078-242-3223,,"重要文化財, レンガ造り, 北野"
うろこの家,"34.7005, 135.1842",tourism,観光,神戸市中央区北野町2-20-4,078-242-6530,,"異人館, 展望台あり"
神戸ポートタワー,"34.6793, 135.1924",tourism,観光,神戸市中央区波止場町5-5,078-391-6751,https://www.kobe-port-tower.com,"展望台, 360度パノラマ, リニューアル済み, 夜景"
メリケンパーク,"34.6797, 135.1898",tourism,観光,神戸市中央区波止場町2-2,078-325-2280,,"港の景観, 夜景スポット, 写真撮影"
南京町（神戸チャイナタウン）,"34.6872, 135.1859",tourism,観光,神戸市中央区栄町通1-3丁目,078-332-2896,,"中華料理街, 食べ歩き, 観光名所"
神戸市立博物館,"34.6883, 135.1938",tourism,観光,神戸市中央区京町24,078-391-0035,,"南蛮美術, 歴史展示, オーディオガイド"
六甲山,"34.7591, 135.2426",tourism,観光,神戸市灘区六甲山町,078-891-0616,,"夜景スポット, ハイキング, 展望台"
神戸どうぶつ王国,"34.7178, 135.2132",tourism,観光,神戸市灘区王子町3-1,078-861-5020,https://www.kobe-ojizoo.jp,"動物園, 家族向け, 子供連れ"
神戸海洋博物館,"34.6805, 135.1912",tourism,観光,神戸市中央区波止場町2-2,078-327-8983,,"海事歴史, カワサキワールド"
UCC コーヒー博物館,"34.6717, 135.2093",tourism,観光,神戸市中央区港島中町6-6-2,078-302-8880,,"コーヒー歴史, 体験プログラム, カフェ"
神戸市立須磨海浜水族園,"34.6283, 135.1037",tourism,観光,神戸市須磨区若宮町1-3-5,078-731-7301,,"水族館, イルカショー, 家族向け"
明石海峡大橋（舞子公園）,"34.635, 134.977",tourism,観光,神戸市垂水区東舞子町2051,078-785-5090,,"世界最長吊橋, 展望施設, 絶景"
有馬温泉,"34.7982, 135.2489",tourism,観光,神戸市北区有馬町,078-904-0708,,"温泉, 金泉銀泉, 日帰り入浴"
神戸ワイン城（神戸ワイナリー）,"34.718, 135.023",tourism,観光,神戸市西区押部谷町高津橋1,078-976-6903,,"ワイナリー, テイスティング, 農業公園"
旧居留地,"34.688, 135.191",tourism,観光,神戸市中央区明石町,,,"歴史地区, 欧風建築, ショッピング"
神戸布引ハーブ園,"34.71, 135.181",tourism,観光,神戸市中央区北野町1-4-3,078-271-1160,,"ロープウェイ, ハーブ園, 夜景"
竹中大工道具館,"34.701, 135.189",tourism,観光,神戸市中央区熊内町7-5-1,078-242-0216,,"大工道具, 日本建築, 職人文化"
神戸市立王子競技場,"34.718, 135.213",tourism,観光,神戸市灘区王子町3-1,078-822-3080,,"スタジアム, サッカー, スポーツ観戦"
神戸ルミナリエ会場（東遊園地）,"34.6939, 135.1959",tourism,観光,神戸市中央区加納町6丁目,,,"冬季イルミネーション, 阪神淡路大震災慰霊"
神戸ファッション美術館,"34.6909, 135.2743",tourism,観光,神戸市東灘区向洋町中2-9-1,078-858-0050,,"ファッション, 衣装展示"
灘の酒蔵（菊正宗酒造記念館）,"34.721, 135.27",tourism,観光,神戸市東灘区魚崎西町1-9-1,078-854-1029,,"日本酒, 酒蔵見学, 試飲"
白鶴酒造資料館,"34.719, 135.263",tourism,観光,神戸市東灘区住吉南町4-5-5,078-822-8907,,"日本酒, 蔵元見学, 無料入館"
神戸市立垂水図書館（垂水観光拠点）,"34.634, 134.982",tourism,観光,神戸市垂水区日向2-1-1,078-707-8888,,"観光案内, 地域情報"
摩耶山掬星台,"34.736, 135.219",tourism,観光,神戸市灘区摩耶山町,078-861-2998,,"夜景日本一, 展望台, ロープウェイ"
神戸北野美術館,"34.701, 135.185",tourism,観光,神戸市中央区北野町3-10-8,078-222-6766,,"現代美術, 北野エリア"
相楽園,"34.697, 135.185",tourism,観光,神戸市中央区中山手通5-3-1,078-351-5155,,"日本庭園, 重要文化財, 茶室"
神戸市立中央図書館（観光情報）,"34.691, 135.189",tourism,観光,神戸市中央区楠町7-2-1,078-371-3351,,"観光パンフレット, 多言語資料"
神戸港（ベイエリア）,"34.68, 135.188",tourism,観光,神戸市中央区波止場町,,,"港町散策, 夕日, クルーズ乗り場"
モザイク大観覧車,"34.676, 135.184",tourism,観光,神戸市中央区東川崎町1-6-1,078-360-1920,,"観覧車, ハーバーランド, 夜景"
神戸牛ステーキ 但馬屋 三宮店,"34.6932, 135.1931",restaurant,飲食店,神戸市中央区三宮町1-8-1,078-391-1234,,"神戸牛, 英語メニュー, 免税対応"
南京町 老祥記（豚まん）,"34.6878, 135.186",restaurant,飲食店,神戸市中央区元町通2-1-14,078-331-7714,,"豚まん, 行列店, テイクアウト"
ハラールレストラン ニルファル,"34.6898, 135.181",restaurant,飲食店,神戸市中央区元町通4-4-13,078-321-9876,,"ハラール認証, 中東料理, ベジタリアン対応"
インド料理 ガネーシャ 三宮,"34.6922, 135.1893",restaurant,飲食店,神戸市中央区三宮町3-6-18,078-321-0077,,"ベジタリアン対応, ハラール, インドカレー"
ビーフン東 本店,"34.6891, 135.1798",restaurant,飲食店,神戸市中央区元町通5-7-3,078-341-1111,,"台湾料理, ビーフン専門, ベジタリアン対応"
IKEA 神戸（レストラン）,"34.671, 135.208",restaurant,飲食店,神戸市中央区港島中町6-6-1,078-304-5801,,"スウェーデン料理, 外国語メニュー, ファミリー"
