Name,Location,Category,CategoryJA,Address,Phone,Website,Notes
神戸大学医学部附属病院,"34.6896, 135.1896",hospital,病院,神戸市中央区楠町7-5-2,078-382-5111,,"救急指定, 国際診療室, 外国語対応"
神戸市立医療センター中央市民病院,"34.6618, 135.2044",hospital,病院,神戸市中央区港島南町2-1-1,078-302-4321,https://www.kcho.jp,"救急指定, 24時間対応, 高度救命救急"
兵庫県立こども病院,"34.6625, 135.2054",hospital,病院,神戸市中央区港島南町1-6-7,078-945-7300,,"小児専門, 24時間救急"
神戸赤十字病院,"34.671, 135.2006",hospital,病院,神戸市中央区港島中町1-3-1,078-231-5981,,"救急指定, 輸血センター, 災害拠点病院"
神戸掖済会病院,"34.6922, 135.1868",hospital,病院,神戸市中央区橘通3-3-10,078-341-1321,,"救急指定, 海外旅行者対応"
神戸市立西市民病院,"34.682, 135.148",hospital,病院,神戸市長田区細田町3-3-1,078-576-5251,,"救急指定, 総合診療"
甲南病院,"34.7238, 135.2684",hospital,病院,神戸市東灘区岡本8-6-1,078-431-4101,,"救急対応, 内科外科"
神戸百年記念病院,"34.6285, 135.1237",hospital,病院,神戸市須磨区須磨浦通4-1-1,078-735-3000,,"内科, 外科, 整形外科"
神戸市立西神戸医療センター,"34.7142, 135.0905",hospital,病院,神戸市西区糀台6-1-1,078-929-1500,,"救急指定, 総合病院"
神戸海星病院,"34.7173, 135.2181",hospital,病院,神戸市灘区岩屋北町3-11-15,078-871-5201,,"内科, 外科, 産婦人科"
神戸協同病院,"34.672, 135.148",hospital,病院,神戸市長田区大谷町2-3-1,078-611-3984,,"救急対応, 内科"
垂水病院,"34.6337, 134.9818",hospital,病院,神戸市垂水区日向2-5-1,078-754-2233,,"内科, 外科"
神戸労災病院,"34.663, 135.203",hospital,病院,神戸市中央区港島南町1-4-7,078-302-2131,,"救急指定, 整形外科, 外傷"
兵庫県立加古川医療センター分院（神戸西）,"34.698, 135.063",hospital,病院,神戸市西区伊川谷町有瀬322,078-997-2200,,"救急指定, 総合診療"
神戸低侵襲がん医療センター,"34.661, 135.204",hospital,病院,神戸市中央区港島南町2-2-2,078-302-7000,,"がん専門, 最先端治療"
マツモトキヨシ 三宮センタープラザ店,"34.6929, 135.1945",pharmacy,薬局,神戸市中央区三宮町1-10-1,078-331-1772,https://www.matsumotokiyoshi.com,"免税対応, 英語対応, 外国語スタッフ, 化粧品充実"
ウエルシア薬局 神戸元町店,"34.6897, 135.1851",pharmacy,薬局,神戸市中央区元町通1-7-1,078-391-2111,,"処方箋調剤, 英語対応"
ツルハドラッグ 神戸北野坂店,"34.6979, 135.1878",pharmacy,薬局,神戸市中央区山本通3-1-5,078-241-1882,,"観光地近く, 免税手続き"
スギ薬局 三宮店,"34.6935, 135.197",pharmacy,薬局,神戸市中央区磯辺通2-1-8,078-271-3300,,"調剤薬局, 処方箋対応"
ドラッグセイムス 神戸兵庫店,"34.682, 135.162",pharmacy,薬局,神戸市兵庫区駅前通1-3-4,078-681-2200,,"調剤, 日用品"
マツモトキヨシ 神戸元町駅前店,"34.6893, 135.1831",pharmacy,薬局,神戸市中央区元町通2-3-1,078-321-4455,,"免税対応, 化粧品"
ウエルシア 神戸灘店,"34.7135, 135.2288",pharmacy,薬局,神戸市灘区大石東町1-1-1,078-843-2200,,"調剤薬局, 処方箋"
トモズ 三宮店,"34.694, 135.195",pharmacy,薬局,神戸市中央区三宮町1-5-3,078-321-5500,,"外国語対応, 免税, 英語スタッフ"
コクミン薬局 三宮店,"34.693, 135.192",pharmacy,薬局,神戸市中央区三宮町2-11-1,078-331-3300,,"調剤, 市販薬充実"
ドラッグストアコスモス 神戸垂水店,"34.6337, 134.9818",pharmacy,薬局,神戸市垂水区日向1-1-1,078-755-0021,,"大型店舗, 日用品充実"
セブン銀行ATM（セブンイレブン三宮駅前店）,"34.6924, 135.1952",atm,ATM,神戸市中央区磯辺通3-2-16,,,"24時間, 国際カード, VISA/Master/JCB/Amex"
セブン銀行ATM（三ノ宮駅構内）,"34.6953, 135.1955",atm,ATM,神戸市中央区三宮町1-1-1,,,"24時間, 国際カード対応"
ゆうちょ銀行ATM 神戸中央郵便局,"34.6873, 135.1936",atm,ATM,神戸市中央区橘通1-4-2,0120-108-420,,"国際カード対応, Cirrus/PLUS"
みずほ銀行ATM 三宮支店,"34.693, 135.1927",atm,ATM,神戸市中央区三宮町1-4-3,,,VISA/PLUS/Cirrus/Maestro
三菱UFJ銀行ATM 神戸三宮支店,"34.6925, 135.194",atm,ATM,神戸市中央区三宮町1-6-3,,,"VISA/Plus/Cirrus, 国際送金"
三井住友銀行ATM 神戸支店,"34.6918, 135.192",atm,ATM,神戸市中央区三宮町2-1-1,,,VISA/Plus/Cirrus
ローソン銀行ATM（ローソン神戸元町店）,"34.6893, 135.1831",atm,ATM,神戸市中央区元町通2-1-5,,,"24時間, 国際カード"
セブン銀行ATM（セブンイレブン神戸メリケンパーク前店）,"34.68, 135.19",atm,ATM,神戸市中央区波止場町3-1,,,"24時間, 国際カード"
イオン銀行ATM イオン神戸南店,"34.667, 135.204",atm,ATM,神戸市中央区港島中町6-1-1,,,"VISA/Master, イオンモール内"
ゆうちょ銀行ATM 神戸北野郵便局,"34.699, 135.187",atm,ATM,神戸市中央区山本通1-3-1,,,"異人館エリア近く, 国際カード"
りそな銀行ATM 神戸支店,"34.691, 135.191",atm,ATM,神戸市中央区三宮町2-4-1,,,VISA/Plus/Cirrus/Maestro
関西みらい銀行ATM 神戸三宮支店,"34.692, 135.193",atm,ATM,神戸市中央区三宮町1-8-1,,,"地方銀行ATM, 国際カード"
みずほ銀行ATM 元町支店,"34.6885, 135.184",atm,ATM,神戸市中央区元町通3-1-1,,,VISA/Plus/Cirrus
セブン銀行ATM 神戸空港,"34.6328, 135.2238",atm,ATM,神戸市中央区神戸空港1,,,"24時間, 国際カード, 空港内"
三菱UFJ銀行ATM 神戸元町支店,"34.689, 135.181",atm,ATM,神戸市中央区元町通4-1-1,,,VISA/Plus/Cirrus
東遊園地（広域避難場所）,"34.6939, 135.1959",evacuation,避難場所,神戸市中央区加納町6丁目,,,"広域避難場所, 中央区, 収容多数"
兵庫県立総合体育館（避難場所）,"34.6935, 135.1681",evacuation,避難場所,神戸市中央区中野通1-2-1,078-371-2300,,"指定避難所, 屋内施設"
神戸市立葺合高校（避難場所）,"34.6955, 135.2011",evacuation,避難場所,神戸市中央区二宮町4-1-1,078-221-1222,,"地域避難所, 中央区指定"
神戸市総合運動公園（広域避難場所）,"34.6525, 135.0981",evacuation,避難場所,神戸市須磨区緑台,078-792-3900,,"広域避難場所, 大規模"
HAT神戸なぎさ公園（避難場所）,"34.693, 135.222",evacuation,避難場所,神戸市中央区脇浜海岸通2丁目,,,"広域避難場所, 海岸沿い"
神戸市立兵庫高校（避難場所）,"34.682, 135.163",evacuation,避難場所,神戸市兵庫区神田町2-1-1,078-651-1331,,"地域避難所, 兵庫区指定"
神戸市立須磨翔風高校（避難場所）,"34.68, 135.125",evacuation,避難場所,神戸市須磨区中落合2-13-1,078-793-7111,,"地域避難所, 須磨区指定"
神戸学院大学ポートアイランドキャンパス（避難場所）,"34.665, 135.207",evacuation,避難場所,神戸市中央区港島1-1-3,078-974-1551,,"広域避難所, 大学施設"
神戸市立垂水中学校（避難場所）,"34.636, 134.982",evacuation,避難場所,神戸市垂水区学が丘4-1,078-708-0085,,"地域避難所, 垂水区指定"
メリケンパーク（広域避難場所）,"34.6797, 135.1898",evacuation,避難場所,神戸市中央区波止場町2-2,078-325-2280,,"広域避難場所, 港エリア"
